###############################################################################
# Information about Dragon 64 ROM - 32K mode
#
# Collected from:
#     http://archive.worldofdragon.org/phpBB3/viewtopic.php?f=5&t=4370&start=10#p11378
# AUTHOR: Stewart Orchard alias sorchard
#
# copyleft: 2014 by the 6809 team, see AUTHORS for more details.
# license: GNU GPL v3 or above, see LICENSE for more details.
#
###############################################################################

$8000-$8012 ; * standard JMP vectors
$8c33       ;  ...continued

$8c36       ; * assign B to FPA1

$8c37-$8c3d ; * assign D to FPA1 (signed)
$8c37       ; numeric / string flag
$8c3d       ; signed assign!

$8c40-$8c4e ; * STR$
$8c40       ; validate numeric expression
$8c46       ; convert FPA1 to string at U
$8c49       ; lose return address
$8c4e       ; compile literal string at X

$8c50-$8c58 ; * reserve B bytes of string space
$8c50-$8c58 ; * returns X = $58 = start of requested block
$8c50-$8c58 ; * B = $56 = length of block
$8c52       ; reserve B bytes of string space

$8c59-$8cb2 ; * register a delimited string pointed to by X
$8c59-$8cb2 ; * if string is in keyboard buffer, then copy it into free string space.
$8c59-$8cb2 ; * stores string start, end & length in $62, $64 & $56
$8c59-$8cb2 ; * string start also in $58
$8c59-$8cb2 ; * if copied to string space, start & end also in $58 & $4d
$8c80       ; PATCH - reset BASIC memory
$8c89       ; push temp string onto varptr stack
$8c8b       ; reserve B bytes of string space
$8c8f       ; copy string of length B from X+ to ($25)+
$8c99       ; ?ST ERROR
$8c9b       ; cause error
$8ca8       ; numeric / string flag

$8cb3-$8cd5 ; * reserve B bytes of string space
$8cb3-$8cd5 ; * returns X = pointer to requested block & B = length
$8cb3-$8cd5 ; * requested block also in $25
$8cb8       ; top of free string space
$8cbc       ; stack root / string storage start
$8cbf       ; not enough space
$8cc1       ; new free pointer
$8cc7       ; points to requested block
$8ccb       ; ?OS ERROR
$8ccf       ; already done garbage collect - give up
$8cd1       ; string garbage collect
$8cd5       ; try to reserve space again

$8cd7-$8d52 ; * string space garbage collect
$8cd7       ; top of BASIC RAM
$8cd9       ; top of free string space
$8cdf       ; stack root / string storage start
$8cee       ; start of simple variables
$8cf0       ; start of array variables
$8cfc       ; end of BASIC storage
$8d24       ; top of free string space
$8d41       ; top of free string space
$8d45       ; move memory contents up (no memory check)

$8d55-$8d86 ; * handle '+' in a string expression (concatenate)
$8d59       ; evaluate sub-expression
$8d5c       ; validate string expression
$8d67       ; add string lengths
$8d69       ; not too long
$8d6b       ; ?LS ERROR
$8d6d       ; cause error
$8d70       ; reserve B bytes of string space
$8d77       ; copy string (len B) from varptr X to ($25)+
$8d7b       ; point X to string & length in B
$8d7d       ; copy string of length B from X+ to ($25)+
$8d81       ; point X to string & length in B
$8d83       ; push temp string onto varptr stack
$8d86       ; back to expression handler

$8d89       ; * copy string of length B from varptr X to ($25)+

$8d8b-$8d99 ; * copy string of length B from X+ to ($25)+

$8d9a-$8dba ; * validate result of string expression
$8d9a-$8dba ; * point X to 1st character & length in B
$8d9a-$8dba ; * (if it is the most recent temp string then delete it)
$8d9a       ; validate string expression
$8da1       ; if X is top of string stack then pull it
$8da3       ; normal varptr
$8da9       ; top of free string space
$8daf       ; top of free string space
$8db1       ; top of free string space

$8dbb-$8dc6 ; * if X is top of string stack then pull it

$8dc7-$8dc9 ; * LEN
$8dc7       ; validate string & test length
$8dc9       ; assign B to FPA1

$8dcc-$8dd1 ; * validate string & test length
$8dcc       ; validate string & point X to it
$8dce       ; numeric / string flag

$8dd2-$8de3 ; * CHR$
$8dd2       ; read 8 bit value into B from FPA1
$8dd7       ; reserve B bytes of string space
$8ddc       ; store string details as for temp string
$8de3       ; push temp string onto varptr stack

$8de6-$8de8 ; * ASC
$8de6       ; get 1st character of string into B
$8de8       ; assign B to FPA1

$8dea-$8df0 ; * get 1st character of string into B
$8dea       ; validate string & test length
$8dec       ; ?FC ERROR

$8df1-$8e0c ; * LEFT$
$8df1       ; get str varptr in X & $4D, arg. in A & B
$8df6       ; number of chrs <= string length
$8dfd       ; reserve B bytes of string space
$8e02       ; point X to string & length in B
$8e06       ; adjust string start for MID$ / RIGHT$
$8e09       ; copy string of length B from X+ to ($25)+
$8e0c       ; push temp string onto varptr stack

$8e0e-$8e13 ; * RIGHT$
$8e0e       ; get str varptr in X & $4D, arg. in A & B
$8e12       ; A = string length - argument
$8e13       ; create new string

$8e15-$8e39 ; * MID$
$8e15       ; default length
$8e19       ; get current character from BASIC source
$8e1d       ; length not specified
$8e1f       ; skip comma
$8e22       ; get number into B (& $53)
$8e24       ; get str varptr in X & $4D, arg. in A & B
$8e26       ; ?FC ERROR
$8e29       ; A = pos - 1
$8e2c       ; pos past end - create empty string
$8e32       ; B = string length - pos
$8e35       ; no. of chrs available <= requested length
$8e39       ; use requested length

$8e3b-$8e4c ; * called by LEFT$, RIGHT$ & MID$
$8e3b-$8e4c ; * get string varptr in X & $4D, argument in A & B
$8e3b       ; skip close bracket
$8e4c       ; ?FC ERROR

$8e4f       ; * skip character & get 8 bit value into B
$8e4f       ; get next character from BASIC source

$8e51       ; * read 8 bit value into B
$8e51       ; read numeric expression into FPA1

$8e54-$8e5a ; * read 8 bit value into B from FPA1
$8e54       ; read unsigned number into $52 & D from FPA1
$8e58       ; ?FC ERROR
$8e5a       ; get current character from BASIC source

$8e5c-$8e79 ; * VAL
$8e5c       ; validate string & test length
$8e5f       ; clear exponents in FPA1 ($4f & $54)
$8e63       ; save source pointer
$8e65       ; point source pointer to start of string
$8e68       ; save byte at end of string
$8e6c       ; put a zero at end of string
$8e6e       ; get current character from BASIC source
$8e70       ; read numeric expression into FPA1
$8e75       ; restore byte at end of string
$8e77       ; restore source pointer

$8e7a-$8e81 ; * read pair of numbers from command
$8e7a-$8e81 ; * 1st in $2b / $2c & 2nd in B
$8e7a       ; read 16 bit number into X
$8e7e       ; skip comma
$8e81       ; get number into B

$8e83       ; * read 16 bit unsigned number into X
$8e83       ; read numeric expression into FPA1

$8e86-$8e95 ; * read 16 bit unsigned number into X from FPA1
$8e88       ; ?FC ERROR
$8e8e       ; ?FC ERROR
$8e90       ; denormalize FPA1 to an integer

$8e96-$8e9a ; * PEEK
$8e96       ; read 16 bit number into X from FPA1
$8e9a       ; assign B to FPA1

$8e9d-$8ea3 ; * POKE
$8e9d       ; read pair of numbers into $2b/2c & B

$8ea4-$8ea8 ; * LLIST
$8ea6       ; DEVN
$8ea8       ; get current character from BASIC source

$8eaa-$8f06 ; * LIST
$8eac       ; read line number & store in $2b
$8eaf       ; search program for line number in <$2b
$8eb8       ; get current character from BASIC source
$8ebc       ; token -
$8ec0       ; get next character from BASIC source
$8ec4       ; read line number & store in $2b
$8ed3       ; initialise virtual DEVN device & new line
$8ed6       ; scan for BREAK & pause if DEVN is not -1
$8edd       ; close DEVN stream
$8ee0       ; DEVN
$8ee2       ; command mode
$8eee       ; print unsigned number in D
$8ef1       ; print a space to DEVN
$8ef6       ; detokenize BASIC line
$8f03       ; output character to DEVN

$8f08-$8f66 ; * detokenize BASIC line
$8f08       ; PATCH - detokenize

$8f67-$903b ; * tokenize BASIC line
$8f67       ; PATCH - tokenize
$8f6a       ; BASIC source pointer
$8f7b       ; carry clear if A-Z
$8fae       ; BASIC source pointer
$9027       ; carry clear if A-Z

$903d-$909f ; * PRINT
$903d       ; send CR to DEVN
$9041       ; DEVN
$9048       ; handle PRINT@
$9051       ; read #-n & set up DEVN
$9054       ; if DEVN = -1, test cassette OK for output
$9057       ; get current character from BASIC source
$9059       ; send CR to DEVN
$905b       ; skip comma
$905e       ; token USING
$9064       ; RTS
$9066       ; token TAB(
$9070       ; skip semicolon
$9072       ; get expression
$9075       ; numeric / string flag
$9079       ; string expression
$907b       ; convert FPA1 to string at $3DA
$907e       ; register string at X
$9081       ; print string just compiled
$9085       ; initialise virtual DEVN device
$9088       ; cassette IO flag
$908a       ; no IO in progress
$908c       ; send CR to DEVN
$908e       ; get current character from BASIC source
$9093       ; string just printed so no space
$9095       ; get current character from BASIC source
$909b       ; print a space to DEVN
$909d       ; get current character from BASIC source

$90a1-$90a3 ; * send CR to DEVN
$90a3       ; output character to DEVN

$90a5-$90ae ; * initialise virtual DEVN device & new line
$90a5       ; initialise virtual DEVN device
$90a8       ; send CR to DEVN
$90aa       ; device current column
$90ac       ; send CR to DEVN

$90af-$90c5 ; * called by PRINT to handle ,
$90af       ; initialise virtual DEVN device
$90b4       ; device current column
$90b6       ; device last comma field
$90ba       ; send CR to DEVN
$90be       ; device current column
$90c0       ; device comma field width

$90c7-$90e2 ; * called by PRINT to handle TAB
$90c7       ; skip character & get number in B
$90cc       ; ?SN ERROR
$90d0       ; initialise virtual DEVN device
$90d3       ; device current column
$90d7       ; cassette IO flag
$90d9       ; IO in progress
$90db       ; print a space to DEVN
$90e0       ; get next character from BASIC source

$90e5-$90f3 ; * print string to DEVN
$90e5       ; compile literal string at X
$90e8       ; point X to string just compiled & len in B
$90ed       ; RTS
$90f1       ; output character to DEVN

$90f5-$90f7 ; * print a space to DEVN

$90fa       ; * print '?' to DEVN
$90fa       ; * (90F8 863F       LDA   #$3F)
$90fa       ; output character to DEVN

$90fd-$9100 ; * add 0.5 to FPA1
$90fd       ; FP constant 0.5
$9100       ; add varptr X to FPA1

$9102-$9109 ; * subtract FPA1 from varptr X
$9102       ; load FPA2 from varptr X

$910b-$91a4 ; * add varptr X to FPA1
$910b       ; load FPA2 from varptr X
$910e       ; FPA1 exponent
$910f       ; copy FPA2 to FPA1 (because FPA1 zero)
$9113       ; FPA2
$9116       ; A = B = FPA2 exponent
$9119       ; RTS (FPA2 is zero)
$911b       ; B = FPA2 exponent - FPA1 exponent
$911d       ; FPA1 & FPA2 same order
$911f       ; FPA1 higher order
$9127       ; FPA1
$912d       ; more than 8 bits to shift
$9132       ; shift mantissa of varptr X right -B bits
$9135       ; (carries into A)
$9137       ; FPA1 & FPA2 same sign
$913b       ; 2's complement FPA1
$913d       ; carry is picked up below
$9148       ; add mantissa in FPA2 to FPA1
$915f       ; signs were same
$9161       ; normalize FPA1
$9163       ; 2's complent mantissa in FPA1
$9168       ; normalize bit-wise
$9188       ; shift mantissa of varptr X right -B bits
$91a2       ; clear exponents in FPA1 ($4f & $54)

$91a7-$91c1 ; * (91A5 2508       BCS   $91AF)
$91b1       ; ?OV ERROR
$91bd       ; add the carry to mantissa in FPA1

$91c2-$91dd ; * 2's complement mantissa in FPA1
$91db       ; ?OV ERROR
$91dd       ; cause error

$91e0-$91f5 ; * shift $13 - $16 & $63 right -B bits
$91e0-$91f5 ; * (shifts 8 bits before testing B)

$91f7-$920e ; * shift mantissa of varptr X right -B bits
$91ff       ; RTS
$920e       ; FP constant 1

$9213-$9237 ; * log series coefficients
$9214       ; FP constant .4342559419
$9219       ; FP constant .5765845412
$921e       ; FP constant .9618007592
$9223       ; FP constant 2.885390073
$9228       ; FP constant root 2 / 2
$922d       ; FP constant root 2
$9232       ; FP constant -0.5
$9237       ; FP constant ln2

$923c-$9270 ; * LOG
$923c       ; sets B to -1, 0 or 1 as per sign of FPA1
$923f       ; ?FC ERROR
$9243       ; FP constant root 2 / 2
$9250       ; add varptr X to FPA1
$9253       ; FP constant root 2
$9256       ; FPA1 = varptr X / FPA1
$9259       ; FP constant 1
$925c       ; FPA1 = varptr X - FPA1
$925f       ; series coefficients
$9262       ; calculate odd power series
$9265       ; FP constant -0.5
$9268       ; add varptr X to FPA1
$926d       ; add B to FPA1
$9270       ; FP constant ln2

$9273-$92a6 ; * multiply FPA1 by varptr X
$9273       ; load FPA2 from varptr X
$9275       ; RTS (FPA1 zero)
$9277       ; add A to exponent in FPA1
$9285       ; multiply mantissa in FPA2 by B
$928d       ; multiply mantissa in FPA2 by B
$9295       ; multiply mantissa in FPA2 by B
$92a3       ; copy mantissa from $13 - $16 to FPA1
$92a6       ; normalize FPA1

$92a9-$92d9 ; * multiply mantissa in FPA2 by B
$92a9-$92d9 ; * accumulate result in $13 - $16 & $63 & shift result right 8 bits
$92a9       ; B=0 (shift $13 - $16 & $63 right 8 bits)
$92b1       ; RTS

$92da-$92f2 ; * load FPA2 from varptr X & set $62 with FPA1 / FPA2 sign difference
$92da-$92f2 ; * A = exponent from FPA2
$92da-$92f2 ; * B = exponent from FPA1

$92f3-$9312 ; * add A to exponent in FPA1
$9300       ; clear exponents in FPA1 ($4f & $54)
$9302       ; sign difference FPA1 / FPA2
$930e       ; clear exponents in FPA1 ($4f & $54)
$9312       ; ?OV ERROR

$9315-$9328 ; * multiply FPA1 by 10
$9315       ; copy FPA1 to FPA2
$931a       ;  x4
$931c       ; ?OV ERROR
$9320       ; add FPA2 to FPA1 (FPA1 exponent in A)
$9323       ; double result
$9325       ; ?OV ERROR
$9328       ; FP constant 10

$932d-$9339 ; * divide FPA1 by 10
$932d       ; copy FPA1 to FPA2
$9330       ; FP constant 10
$9336       ; load variable into FPA1 (X is varptr)

$933c-$93b3 ; * divide varptr X by FPA1
$933c-$93b3 ; * (933A 8D9E       BSR   $92DA)   ;load FPA2 from varptr X
$933c       ; ?/0 ERROR (FPA1 zero)
$9340       ; add A to exponent in FPA1
$9344       ; ?OV ERROR
$9367       ; identical mantissas - set carry
$93ac       ; copy mantissa from $13 - $16 to FPA1
$93ae       ; normalize FPA1
$93b1       ; ?/0 ERROR
$93b3       ; cause error

$93b6-$93be ; * copy mantissa from $13 - $16 to FPA1

$93bf-$93d3 ; * load variable into FPA1 (X is varptr)

$93d5-$93d8 ; * assign FPA1 to variable store $45 - $49
$93d8       ; assign FPA1 to varptr in X

$93da-$93dd ; * assign FPA1 to variable store $40 - $44

$93e0-$93f4 ; * assign FPA1 to varptr in <$3b
$93e0-$93f4 ; * (93DE 9E3B       LDX   <$3B)
$93e0-$93f4 ; * assign FPA1 to varptr in X

$93f5-$9409 ; * copy FPA2 to FPA1 (A = sign)

$940a-$9417 ; * copy FPA1 to FPA2 & test for exponent = 0

$9418-$9424 ; * sets B to -1, 0 or 1 according to sign of FPA1

$9425-$943b ; * SGN
$9425       ; sets B to -1, 0 or 1 as per sign of FPA1
$942f       ; set carry according to sign
$9433       ; zero
$943b       ; normalize FPA1 (if carry clear, negate 1st)

$943e-$9440 ; * ABS
$943e       ; simply clear sign byte

$9441-$9449 ; * compare FPA1 - varptr X  (set B to -1, 0 or 1)
$9443       ; sets B to -1, 0 or 1 as per sign of FPA1
$9449       ; set B to -1 or 1 as per sign of FPA1

$944b-$9471 ; * compare FPA1 - varptr X (of same sign)
$946e       ; turn carry into sign
$9471       ; reduce B to +/- 1

$9473-$9496 ; * denormalize FPA1 to an integer (but don't update exponent)
$9475       ; clear mantissa in FPA1
$947f       ; 2's complement mantissa in FPA1 (not $54)
$9482       ; FPA1
$9489       ; shift mantissa of varptr X right -B bits
$9496       ; shift mantissa of varptr X right -B bits

$9499-$94b1 ; * INT
$949b       ; when exponent >= $A0, no fractional part
$949d       ; RTS (already an integer)
$949f       ; denormalize FPA1 to an integer
$94b1       ; normalize FPA1 (if carry clear, negate 1st)

$94b4-$94bc ; * clear mantissa in FPA1

$94bd-$9511 ; * read a numeric constant into FPA1
$94bd       ; zero
$94c7       ; $47 & $48 = decimal exponent & sign
$94c9       ; $45 & $46 decimal place counter & flag
$94cb       ; read sig. figs. into FPA1
$94cf       ; read hex or octal
$94df       ; get next character from BASIC source
$94e1       ; read sig. figs. into FPA1
$94e9       ; finished reading number, now finalise.
$94eb       ; get next character from BASIC source
$94ed       ; read decimal exponent into $47
$94ef       ; token -
$94f7       ; token +
$9503       ; get next character from BASIC source
$9505       ; read decimal exponent into $47
$9509       ; finished reading number, now finalise.
$950b       ; -ve exponent
$950d       ; finished reading number, now finalise.
$9511       ; 1st decimal point encountered

$9513-$9531 ; * finished reading number, now finalise.
$951d       ; divide FPA1 by 10
$9526       ; multiply FPA1 by 10
$952f       ; RTS
$9531       ; COM $54 if FPA1 non zero

$9534-$9545 ; * read sig. figs. into FPA1
$9534       ; increment decimal place counter
$9536       ; if decimal point passed
$953c       ; multiply FPA1 by 10
$9543       ; add B to FPA1

$9547-$9550 ; * add B to FPA1
$9547       ; assign FPA1 to variable store $40 - $44
$954a       ; assign B to FPA1
$9550       ; add varptr X to FPA1

$9553-$9562 ; * read decimal exponent into $47
$9553-$9562 ; * (note that it doesn't check for more than two digits)
$9559       ;  B = 10 * $47

$9564-$956e ; * used by print number routine
$9564       ; FP constant 99999999.9
$9569       ; FP constant 999999999
$956e       ; FP constant 1000000000

$9573-$9578 ; * print 'IN xxxx' (current line number)
$9578       ; current line number

$957a-$9584 ; * print unsigned number in D
$957e       ; set carry for correct result
$957f       ; normalize FPA1 using exponent in B
$9582       ; convert FPA1 to string at $3DA
$9584       ; print string to DEVN

$9587-$966e ; * convert FPA1 to string at $3DA
$9592       ; print '-' for negative numbers else space
$959c       ; number is zero
$95a3       ; number >= 1
$95a5       ; FP constant 1000000000
$95a8       ; multiply varptr X & FPA1
$95ab       ; -9
$95ad       ; decimal exponent
$95af       ; FP constant 999999999
$95b2       ; compare FPA1 - varptr X (of same sign)
$95b7       ; FP constant 99999999.9
$95ba       ; compare FPA1 - varptr X (of same sign)
$95bd       ; (FPA1 is now 100000000 to 999999999)
$95bf       ; multiply FPA1 by 10
$95c2       ; correct exponent
$95c6       ; divide FPA1 by 10
$95c9       ; correct exponent
$95cd       ; add 0.5 to FPA1 (round it up)
$95d0       ; denormalize FPA1 to an integer
$95d3       ; 1 digit before point for sci. notation
$95d7       ; exponent now 2 more than it should be
$95d9       ; actual exponent < -2 (use sci. notation)
$95dd       ; actual exponent >= 9 (use sci. notation)
$95e0       ; number of digits before point = exp + 1
$95e6       ; decimal exponent
$95e8       ; number of digits before decimal point
$95ea       ; no leading decimal point
$95f2       ; can only be zero or -ve here
$95f3       ; no zero reqd after point & before 1st digit
$95fc       ; sign bit used for zero crossing logic
$95fe       ; resolves a decimal digit by adding powers
$9600       ; of 10 until zero is passed.
$9606       ; On 1st pass -ve values are used to get FPA1
$9608       ; below zero. The digit is no. of loops - 1.
$960c       ; On 2nd pass +ve values are used to get FPA1
$960e       ; above zero. The digit is 10 - no. loops.
$9612       ; This continues with alternating signs.
$9616       ; loop counter
$9617       ; logic to test if zero passed
$961b       ; digit = loops - 1
$9620       ; 1 less & ASCII conversion
$9626       ; lose sign bit
$962c       ; haven't reached decimal point yet
$9632       ; alternates B between $00 & $80
$963a       ; backtrack over digits
$963c       ; until non-zero found
$9642       ; if no sig. figs. after decimal point
$9644       ; then lose it.
$964a       ; normal number (no decimal exponent)
$964c       ; +ve exponent
$9657       ; convert B to ASCII number in D
$9662       ; terminate string
$9668       ; terminate string
$966e       ; FP constant 0.5

$9673-$9693 ; * table of 32 bit numbers used by convert number to string routine
$9673-$9693 ; * (to resolve decimal digits)
$9673       ;  -100000000
$9677       ;    10000000
$967b       ;    -1000000
$967f       ;      100000
$9683       ;      -10000
$9687       ;        1000
$968b       ;        -100
$968f       ;          10
$9693       ;          -1

$9697-$969a ; * SQR
$9697       ; copy FPA1 to FPA2
$969a       ; FP constant 0.5

$969d-$96e5 ; * raise FPA2 to power varptr X
$969d       ; load variable into FPA1 (X is varptr)
$96a0       ; EXP
$96a7       ; ?/0 ERROR
$96ab       ; clear FPA1 exponents
$96b1       ; assign FPA1 to varptr in X
$96b9       ; INT
$96c1       ; compare FPA1 - varptr X (of same sign)
$96c9       ; copy FPA2 to FPA1 & put A in $54
$96ce       ; LOG
$96d4       ; multiply varptr X & FPA1
$96d7       ; EXP
$96dc       ; RTS
$96e5       ; FP constant 1/ln 2

$96ea-$970e ; * EXP series coefficient table
$96ea-$970e ; * values appear to be error compensated
$96eb       ; FP constant .0000214987637  (ln2)^7 / 7!
$96f0       ; FP constant .0001435231404  (ln2)^6 / 6!
$96f5       ; FP constant .001342263483   (ln2)^5 / 5!
$96fa       ; FP constant .009614017014   (ln2)^4 / 4!
$96ff       ; FP constant .05550512686    (ln2)^3 / 3!
$9704       ; FP constant .2402263846     (ln2)^2 / 2!
$9709       ; FP constant .6931471862      ln2
$970e       ; FP constant 1

$9713-$9742 ; * EXP
$9713-$9742 ; * calculates exp(x) by first calculating q=x/ln2 such that exp(x) = 2^q
$9713-$9742 ; * fractional part of q is used for good convergence
$9713-$9742 ; * integer part of q is simply added to FPA1 exponent afterwards
$9713       ; FP constant 1/ln 2
$9716       ; multiply FPA1 by varptr X
$9718       ; assign FPA1 to variable store $40 - $44
$9721       ; ?OV ERROR if FPA1 +ve else FPA1 = 0
$9724       ; INT
$9727       ; integer part of argument
$972b       ; ?OV ERROR
$9733       ; FPA1 = varptr X - FPA1
$9736       ; EXP coefficient table
$9739       ; series calculation
$973f       ; add A to exponent in FPA1

$9743-$974f ; * calculate odd power series
$9743-$974f ; * X points to coefficient table (1st byte is n)
$9743-$974f ; * x in FPA1
$9743-$974f ; * result = (a0xx+a1)xx+a2)xx+a3 ...)xx+an) * x
$9743-$974f ; * ( = a0*x^(2n+1) + a1*x^(2n-1) + ... + a(n-1)*x^3 + an*x )
$9743-$974f ; * result in FPA1
$9745       ; assign FPA1 to variable store $40 - $44
$9748       ; multiply varptr X & FPA1 (x squared)
$974a       ; calculate series
$974f       ; multiply varptr X & FPA1 (odd powers)

$9752-$9771 ; * calculate power series (polynomial of nth order)
$9752-$9771 ; * X points to coefficient table (1st byte is n)
$9752-$9771 ; * x in FPA1
$9752-$9771 ; * result = (a0x+a1)x+a2)x+a3 ...)x+an
$9752-$9771 ; * ( = a0*x^n + a1*x^(n-1) + ... + a(n-1)*x + an )
$9752-$9771 ; * result in FPA1
$9754       ; assign FPA1 to variable store $45 - $49
$975f       ; multiply varptr X & FPA1
$9767       ; add varptr X to FPA1

$9772-$97c4 ; * RND
$9772       ; sets B to -1, 0 or 1 as per sign of FPA1
$9779       ; INT
$977b       ; assign FPA1 to variable store $40 - $44
$9783       ; multiply varptr X & FPA1
$9785       ; FP constant 1
$9788       ; add varptr X to FPA1
$978b       ; INT
$97a2       ; multiply FPA1 by mantissa in FPA2
$97c4       ; normalize FPA1

$97c7       ; * RND multiplier

$97cb-$97ce ; * COS ... cos x = sin (x+pi/2)
$97cb       ; FP constant pi/2
$97ce       ; add varptr X to FPA1

$97d1-$9813 ; * SIN
$97d1       ; copy FPA1 to FPA2
$97d4       ; FP constant 2*pi
$97d9       ; STB $62 & divide FPA2 by varptr X (result FPA1)
$97dc       ; copy FPA1 to FPA2
$97df       ; INT
$97e7       ; subtract FPA1 from FPA2 (B=FPA1 exponent)
$97ea       ; FP constant 0.25
$97ed       ; FPA1 = varptr X - FPA1
$97f4       ; angle is 1st quadrant
$97f6       ; add 0.5 to FPA1
$97ff       ; COM $54 if FPA1 non zero
$9802       ; FP constant 0.25
$9805       ; add varptr X to FPA1
$980d       ; COM $54 if FPA1 non zero
$9810       ; series coefficients
$9813       ; calculate odd power series

$9816-$9849 ; * TAN ... tan x = sin x / cos x
$9816       ; assign FPA1 to variable store $40 - $44
$981b       ; SIN
$9820       ; assign FPA1 to varptr in X
$9826       ; load variable into FPA1 (X is varptr)
$982d       ; must calculate cos
$9831       ; ?OV ERROR
$9838       ; FPA1 = varptr X / FPA1
$983f       ; FP constant pi/2
$9844       ; FP constant 2*pi
$9849       ; FP constant 0.25

$984e-$9872 ; * sin series coefficient table
$984e-$9872 ; * values appear to be error compensated
$984f       ; FP constant -14.38139067   -(2pi)^11 / 11!
$9854       ; FP constant  42.00779712    (2pi)^9 / 9!
$9859       ; FP constant -76.70417025   -(2pi)^7 / 7!
$985e       ; FP constant  81.60522368    (2pi)^5 / 5!
$9863       ; FP constant -41.34170211   -(2pi)^3 / 3!
$9868       ; FP constant  2*pi
$986d       ; FP constant  7324114470
$9872       ; FP constant  26913.76914

$9877-$98a5 ; * ATN
$9877-$98a5 ; * calculates atn(x) or pi/2-atn(1/x)
$9877-$98a5 ; * same result either way but series only works -1 < x <= 1
$987d       ; COM $54 if FPA1 non zero
$9887       ; FP constant 1
$988a       ; divide varptr X by FPA1
$988c       ; series coefficients
$988f       ; calculate odd power series
$9897       ; FP constant pi/2
$989a       ; FPA1 = varptr X - FPA1
$98a2       ; COM $54 if FPA1 non zero

$98a6-$98de ; * ATN series coefficients
$98a6-$98de ; * values appear to be error compensated
$98a7       ; FP constant -.0006847939119
$98ac       ; FP constant  .004850942155
$98b1       ; FP constant -.01611170184
$98b6       ; FP constant  .03420963805
$98bb       ; FP constant -.05427913276
$98c0       ; FP constant  .07245719654
$98c5       ; FP constant -.08980239538
$98ca       ; FP constant  .1109324134
$98cf       ; FP constant -.1425398077
$98d4       ; FP constant  .1999991205
$98d9       ; FP constant -.3333333157
$98de       ; FP constant 1

$98e3-$98ff ; * part of reset routine: sets up sound & graphics variables
$98e6       ; PLAY volume data
$98ea       ; PLAY tempo
$98ec       ; PLAY octave
$98ef       ; PLAY note length
$98f1       ; PLAY duration
$98f3       ; zero
$98f5       ; DRAW angle
$98f9       ; graphics X
$98fd       ; graphics Y

$9900-$9948 ; * called by CSAVE to do CSAVEM
$9900       ; get next character from BASIC source
$9902       ; get filename
$9905       ; get start address
$990a       ; get end address
$990e       ; ?FC ERROR
$9912       ; get entry address
$9917       ; get current character from BASIC source
$991b       ; file type = 2 = binary
$991d       ; non-ASCII & ungapped
$991f       ; write filename block
$9922       ; cassette status
$9924       ; block type
$9926       ; write leader
$992b       ; IO buffer
$992f       ; block length
$9933       ; IO buffer
$9939       ; NEG $7c CLR $7d & write last block
$9943       ; block length
$9945       ; write block to tape

$994a-$9954 ; * get a number from command and leave it on stack
$994a       ; skip comma
$994d       ; read 16 bit number into X

$9956-$9962 ; * FIX
$9956       ; sets B to -1, 0 or 1 as per sign of FPA1
$995b       ; INT
$9962       ; COM $54 if FPA1 non zero

$9965-$99e5 ; * EDIT
$9965       ; get line number in $2b
$9968       ; lose return address
$996e       ; search program for line number in <$2b
$9971       ; ?UL ERROR
$9975       ; detokenize BASIC line
$997d       ; line length
$9981       ; print unsigned number in D
$9984       ; print a space to DEVN
$998c       ; print entire line
$998f       ; read keys (carry clear if control key)
$9992       ; set carry if A is non-numeric character
$9997       ; accumulate typed digits in B
$99a6       ; (A = abandon changes & start again)
$99aa       ; send CR to DEVN
$99af       ; (L = show line in current state)
$99b3       ; output ASCIIZ string to DEVN (X is pointer)
$99b7       ; send CR to DEVN
$99bc       ; lose return address
$99be       ; (RETURN = save changes, show line & quit)
$99c2       ; output ASCIIZ string to DEVN (X is pointer)
$99c4       ; send CR to DEVN
$99ca       ; BASIC source pointer
$99cc       ; enter BASIC line
$99cf       ; (E = save changes & quit)
$99d3       ; (Q = discard changes & quit)
$99d7       ; send CR to DEVN
$99da       ; command mode
$99e1       ; (SPACE = show more characters)

$99e8-$99f4 ; * output ASCIIZ string to DEVN (stops at 249 characters)
$99e8-$99f4 ; * (99E6 C6F9       LDB   #$F9)
$99ec       ; output character to DEVN
$99f2       ; show another (in EDIT context)

$99f5-$9a02 ; * EDIT: test for Delete
$99f5       ; (D = delete a number of characters)
$99fd       ; close line up over removed character

$9a03-$9a0f ; * EDIT: close line up over removed character

$9a10-$9a3f ; * EDIT: test for insert mode functions
$9a10       ; (I = insert mode)
$9a14       ; (X = insert mode at end of line)
$9a18       ; (H = wipe rest of line & insert)
$9a23       ; updated line length
$9a25       ; output ASCIIZ string to DEVN (X is pointer)
$9a27       ; read keys (carry clear if control key)
$9a2c       ; RETURN
$9a30       ; RTS (escape insert mode)
$9a34       ; not backspace
$9a39       ; nothing to delete
$9a3b       ; delete it on screen
$9a3d       ; delete it in memory

$9a41-$9a57 ; * EDIT: test for Change
$9a41       ; (C = change a number of characters)
$9a47       ; RTS
